UserType,DemoInfo,Distribution
0,1,0.18749565338340635
0,2,0.1806453856318242
0,3,0.13714444676263995
0,4,0.10970860282356214
0,5,0.09312191390221851
0,6,0.1182975172126017
0,7,0.11562000139091731
1,1,0.00664163015508728
1,2,0.010536198622991863
1,3,0.008901870783781905
1,4,0.006711176020585576
1,5,0.005528896307114542
1,6,0.007093678280826205
1,7,0.006259127894846651
2,1,0.0013561443772167744
2,2,0.0013213714444676263
2,3,0.0007302315877321093
2,4,0.0003477293274914806
2,5,6.954586549829613e-05
2,6,6.954586549829613e-05
2,7,0.00010431879824744419
3,1,0.0003477293274914806
3,2,0.0008345503859795535
3,3,0.00041727519298977677
3,4,0.00013909173099659226
3,5,0.00020863759649488838
3,6,0.00024341052924403643
3,7,0.00010431879824744419
