Drug,Non User,Light User,User,Heavy User
Marijuana,0.45055288963071144,0.34932888239794146,0.07663954377912233,0.12347868419222477
Cocaine,0.8371235830029905,0.13425829334446068,0.01957716113777036,0.009040962514778497
Crack,0.9670700326865568,0.030321997357257113,0.0014952361082133667,0.0011127338479727381
Heroin,0.9811182975172126,0.015195771611377704,0.002051603032199736,0.001634327839209959
Hallucinogen,0.7980040336601989,0.16882258849711385,0.024306279991654495,0.008867097851032756
Inhalant,0.8828499895681202,0.10981292162180958,0.004729118853884136,0.0026079699561861046
Meth,0.9420335211071702,0.05167257806523402,0.003998887266152027,0.0022950135614437724
Pain Reliever,0.8640726058835803,0.07597885805688852,0.04238820502121149,0.017560331038319773
Tranquilizer,0.9433201196188886,0.02458446345364768,0.021837401766464985,0.010258015160998678
Stimulant,0.9339314277766186,0.027887892064816747,0.027122887544335488,0.011057792614229085
Sedative,0.9749982613533625,0.018255789693302733,0.004520481257389249,0.0022254676959454762
any_drug,0.40618262744279854,0.34515613046804366,0.10438834411294248,0.14427289797621531
